dataset,model_name,nr_gpus,batch_size,cached_emb_type,backwardMode,run_id,throughput,[D] Forward_Mean,[D] Backward_Mean,[D] Optimize_Mean,[D] AfterBackward_Mean
FB15k,TransE,6,1200,TorchNativeStdEmb,PySync,run_43,10898.176220482213,6340.0,605098.0,1797.0,0.0
FB15k,TransE,8,400,KGExternelEmbedding,PySync,run_47,87926.58130461065,6554.0,23768.0,1481.0,0.0
FB15k,TransE,8,400,KnownLocalCachedEmbedding,CppAsyncV2,run_45,61110.68673134214,3945.0,3677.0,1119.0,29765.0
FB15k,TransE,8,400,KnownShardedCachedEmbedding,PySync,run_49,26923.78885018594,25182.0,80506.0,9716.0,0.0
FB15k,TransE,8,400,None,CppSync,run_46,195790.5041605482,5000.0,3441.0,3085.0,0.0
FB15k,TransE,8,400,TorchNativeStdEmb,PySync,run_48,12795.547149591943,3796.0,221700.0,1001.0,0.0
FB15k,TransE,8,800,KGExternelEmbedding,PySync,run_52,104619.60963808153,7264.0,40603.0,1889.0,0.0
FB15k,TransE,8,800,KnownLocalCachedEmbedding,CppAsyncV2,run_50,103112.71508667912,4306.0,4029.0,1539.0,37433.0
FB15k,TransE,8,800,KnownShardedCachedEmbedding,PySync,run_54,46130.44825821518,27277.0,90913.0,14820.0,0.0
FB15k,TransE,8,800,None,CppSync,run_51,319632.42271387903,5637.0,4226.0,4496.0,0.0
FB15k,TransE,8,800,TorchNativeStdEmb,PySync,run_53,13312.172525755936,5102.0,405226.0,1425.0,0.0
FB15k,TransE,8,1200,KGExternelEmbedding,PySync,run_57,129659.64343598054,8011.0,52757.0,2330.0,0.0
FB15k,TransE,8,1200,KnownLocalCachedEmbedding,CppAsyncV2,run_55,109042.5834005384,4880.0,4505.0,1963.0,39929.0
FB15k,TransE,8,1200,KnownShardedCachedEmbedding,PySync,run_59,61849.293887228116,26980.0,103128.0,17783.0,0.0
FB15k,TransE,8,1200,None,CppSync,run_56,419323.8403075042,6656.0,4060.0,5352.0,0.0
FB15k,TransE,8,1200,TorchNativeStdEmb,PySync,run_58,13390.83954984461,6118.0,619033.0,1779.0,0.0
Freebase,TransE,2,1200,KGExternelEmbedding,PySync,run_68,22674.66578487411,7852.0,88161.0,2009.0,0.0
Freebase,TransE,2,1200,KnownLocalCachedEmbedding,CppAsyncV2,run_67,55333.96352569571,4161.0,3930.0,1568.0,7812.0
Freebase,TransE,2,1200,KnownShardedCachedEmbedding,PySync,run_70,26151.767423615045,16349.0,61147.0,7570.0,0.0
