num_workers,distribution,zipf_alpha,cache_ratio,batch_size,emb_choice,backwardMode,throughput
4,uniform,0.0,0.1,6144,KGExternelEmbedding,0,165710.0
4,uniform,0.0,0.1,6144,KnownLocalCachedEmbedding,CppAsyncV2,554075.0
4,uniform,0.0,0.1,6144,KnownLocalCachedEmbedding,PySync,122092.0
4,uniform,0.0,0.1,6144,KnownShardedCachedEmbedding,0,84602.0
4,uniform,0.0,0.1,6144,TorchNativeStdEmb,0,268396.0
4,uniform,0.0,0.1,8192,KGExternelEmbedding,0,179350.0
4,uniform,0.0,0.1,8192,KnownLocalCachedEmbedding,CppAsyncV2,489074.0
4,uniform,0.0,0.1,8192,KnownLocalCachedEmbedding,PySync,156382.0
4,uniform,0.0,0.1,8192,KnownShardedCachedEmbedding,0,114448.0
4,uniform,0.0,0.1,8192,TorchNativeStdEmb,0,358096.0
4,uniform,0.0,0.2,512,KGExternelEmbedding,0,125175.0
4,uniform,0.0,0.2,512,KnownLocalCachedEmbedding,CppAsyncV2,181850.0
4,uniform,0.0,0.2,512,KnownLocalCachedEmbedding,PySync,48731.0
4,uniform,0.0,0.2,512,KnownShardedCachedEmbedding,0,29004.0
4,uniform,0.0,0.2,512,TorchNativeStdEmb,0,42624.0
4,uniform,0.0,0.2,1024,KGExternelEmbedding,0,118779.0
4,uniform,0.0,0.2,1024,KnownLocalCachedEmbedding,CppAsyncV2,304309.0
4,uniform,0.0,0.2,1024,KnownLocalCachedEmbedding,PySync,93775.0
4,uniform,0.0,0.2,1024,KnownShardedCachedEmbedding,0,51928.0
4,uniform,0.0,0.2,1024,TorchNativeStdEmb,0,85120.0
4,uniform,0.0,0.2,2048,KGExternelEmbedding,0,94708.0
4,uniform,0.0,0.2,2048,KnownLocalCachedEmbedding,CppAsyncV2,436348.0
4,uniform,0.0,0.2,2048,KnownLocalCachedEmbedding,PySync,57966.0
4,uniform,0.0,0.2,2048,KnownShardedCachedEmbedding,0,45019.0
4,uniform,0.0,0.2,2048,TorchNativeStdEmb,0,92838.0
4,uniform,0.0,0.2,4096,KGExternelEmbedding,0,139032.0
4,uniform,0.0,0.2,4096,KnownLocalCachedEmbedding,CppAsyncV2,451536.0
4,uniform,0.0,0.2,4096,KnownLocalCachedEmbedding,PySync,85760.0
4,uniform,0.0,0.2,4096,KnownShardedCachedEmbedding,0,69538.0
4,uniform,0.0,0.2,4096,TorchNativeStdEmb,0,185850.0
4,zipf,0.9,0.01,512,KGExternelEmbedding,0,131315.0
4,zipf,0.9,0.01,512,KnownLocalCachedEmbedding,CppAsyncV2,192102.0
4,zipf,0.9,0.01,512,KnownLocalCachedEmbedding,PySync,48601.0
4,zipf,0.9,0.01,512,KnownShardedCachedEmbedding,0,24622.0
4,zipf,0.9,0.01,512,TorchNativeStdEmb,0,42881.0
4,zipf,0.9,0.01,1024,KGExternelEmbedding,0,168497.0
4,zipf,0.9,0.01,1024,KnownLocalCachedEmbedding,CppAsyncV2,269031.0
4,zipf,0.9,0.01,1024,KnownLocalCachedEmbedding,PySync,92022.0
4,zipf,0.9,0.01,1024,KnownShardedCachedEmbedding,0,46944.0
4,zipf,0.9,0.01,1024,TorchNativeStdEmb,0,86490.0
4,zipf,0.9,0.01,2048,KGExternelEmbedding,0,94092.0
4,zipf,0.9,0.01,2048,KnownLocalCachedEmbedding,CppAsyncV2,443770.0
4,zipf,0.9,0.01,2048,KnownLocalCachedEmbedding,PySync,70830.0
4,zipf,0.9,0.01,2048,KnownShardedCachedEmbedding,0,32710.0
4,zipf,0.9,0.01,2048,TorchNativeStdEmb,0,91559.0
4,zipf,0.9,0.01,4096,KGExternelEmbedding,0,133757.0
4,zipf,0.9,0.01,4096,KnownLocalCachedEmbedding,CppAsyncV2,534795.0
4,zipf,0.9,0.01,4096,KnownLocalCachedEmbedding,PySync,140829.0
4,zipf,0.9,0.01,4096,KnownShardedCachedEmbedding,0,63341.0
4,zipf,0.9,0.01,4096,TorchNativeStdEmb,0,179466.0
4,zipf,0.9,0.01,6144,KGExternelEmbedding,0,162962.0
4,zipf,0.9,0.01,6144,KnownLocalCachedEmbedding,CppAsyncV2,504164.0
4,zipf,0.9,0.01,6144,KnownLocalCachedEmbedding,PySync,171044.0
4,zipf,0.9,0.01,6144,KnownShardedCachedEmbedding,0,87979.0
4,zipf,0.9,0.01,6144,TorchNativeStdEmb,0,268250.0
4,zipf,0.9,0.01,8192,KGExternelEmbedding,0,186138.0
4,zipf,0.9,0.01,8192,KnownLocalCachedEmbedding,CppAsyncV2,526004.0
4,zipf,0.9,0.01,8192,KnownLocalCachedEmbedding,PySync,186792.0
4,zipf,0.9,0.01,8192,KnownShardedCachedEmbedding,0,104090.0
4,zipf,0.9,0.01,8192,TorchNativeStdEmb,0,369558.0
4,zipf,0.9,0.05,512,KGExternelEmbedding,0,152778.0
4,zipf,0.9,0.05,512,KnownLocalCachedEmbedding,CppAsyncV2,166802.0
4,zipf,0.9,0.05,512,KnownLocalCachedEmbedding,PySync,49668.0
4,zipf,0.9,0.05,512,KnownShardedCachedEmbedding,0,39433.0
4,zipf,0.9,0.05,512,TorchNativeStdEmb,0,42786.0
4,zipf,0.9,0.05,1024,KGExternelEmbedding,0,178443.0
4,zipf,0.9,0.05,1024,KnownLocalCachedEmbedding,CppAsyncV2,287822.0
4,zipf,0.9,0.05,1024,KnownLocalCachedEmbedding,PySync,91561.0
4,zipf,0.9,0.05,1024,KnownShardedCachedEmbedding,0,47187.0
4,zipf,0.9,0.05,1024,TorchNativeStdEmb,0,85579.0
4,zipf,0.9,0.05,2048,KGExternelEmbedding,0,95442.0
4,zipf,0.9,0.05,2048,KnownLocalCachedEmbedding,CppAsyncV2,440880.0
4,zipf,0.9,0.05,2048,KnownLocalCachedEmbedding,PySync,70256.0
4,zipf,0.9,0.05,2048,KnownShardedCachedEmbedding,0,32334.0
4,zipf,0.9,0.05,2048,TorchNativeStdEmb,0,91571.0
4,zipf,0.9,0.05,4096,KGExternelEmbedding,0,141737.0
4,zipf,0.9,0.05,4096,KnownLocalCachedEmbedding,CppAsyncV2,499618.0
4,zipf,0.9,0.05,4096,KnownLocalCachedEmbedding,PySync,129780.0
4,zipf,0.9,0.05,4096,KnownShardedCachedEmbedding,0,62809.0
4,zipf,0.9,0.05,4096,TorchNativeStdEmb,0,184185.0
4,zipf,0.9,0.05,6144,KGExternelEmbedding,0,165855.0
4,zipf,0.9,0.05,6144,KnownLocalCachedEmbedding,CppAsyncV2,481089.0
4,zipf,0.9,0.05,6144,KnownLocalCachedEmbedding,PySync,149298.0
4,zipf,0.9,0.05,6144,KnownShardedCachedEmbedding,0,83688.0
4,zipf,0.9,0.05,6144,TorchNativeStdEmb,0,269098.0
4,zipf,0.9,0.05,8192,KGExternelEmbedding,0,187005.0
4,zipf,0.9,0.05,8192,KnownLocalCachedEmbedding,CppAsyncV2,534263.0
4,zipf,0.9,0.05,8192,KnownLocalCachedEmbedding,PySync,170316.0
4,zipf,0.9,0.05,8192,KnownShardedCachedEmbedding,0,101742.0
4,zipf,0.9,0.05,8192,TorchNativeStdEmb,0,363600.0
4,zipf,0.9,0.1,512,KGExternelEmbedding,0,128991.0
4,zipf,0.9,0.1,512,KnownLocalCachedEmbedding,CppAsyncV2,165642.0
4,zipf,0.9,0.1,512,KnownLocalCachedEmbedding,PySync,47710.0
4,zipf,0.9,0.1,512,KnownShardedCachedEmbedding,0,46511.0
4,zipf,0.9,0.1,512,TorchNativeStdEmb,0,42721.0
4,zipf,0.9,0.1,1024,KGExternelEmbedding,0,153276.0
4,zipf,0.9,0.1,1024,KnownLocalCachedEmbedding,CppAsyncV2,299656.0
4,zipf,0.9,0.1,1024,KnownLocalCachedEmbedding,PySync,95134.0
4,zipf,0.9,0.1,1024,KnownShardedCachedEmbedding,0,53572.0
4,zipf,0.9,0.1,1024,TorchNativeStdEmb,0,85411.0
4,zipf,0.9,0.1,2048,KGExternelEmbedding,0,95958.0
4,zipf,0.9,0.1,2048,KnownLocalCachedEmbedding,CppAsyncV2,453674.0
4,zipf,0.9,0.1,2048,KnownLocalCachedEmbedding,PySync,73845.0
4,zipf,0.9,0.1,2048,KnownShardedCachedEmbedding,0,42390.0
4,zipf,0.9,0.1,2048,TorchNativeStdEmb,0,93150.0
4,zipf,0.9,0.1,4096,KGExternelEmbedding,0,141268.0
4,zipf,0.9,0.1,4096,KnownLocalCachedEmbedding,CppAsyncV2,407015.0
4,zipf,0.9,0.1,4096,KnownLocalCachedEmbedding,PySync,123626.0
4,zipf,0.9,0.1,4096,KnownShardedCachedEmbedding,0,75964.0
4,zipf,0.9,0.1,4096,TorchNativeStdEmb,0,185612.0
4,zipf,0.9,0.1,6144,KGExternelEmbedding,0,165531.0
4,zipf,0.9,0.1,6144,KnownLocalCachedEmbedding,CppAsyncV2,508293.0
4,zipf,0.9,0.1,6144,KnownLocalCachedEmbedding,PySync,150860.0
4,zipf,0.9,0.1,6144,KnownShardedCachedEmbedding,0,83218.0
4,zipf,0.9,0.1,6144,TorchNativeStdEmb,0,269535.0
4,zipf,0.9,0.1,8192,KGExternelEmbedding,0,184581.0
4,zipf,0.9,0.1,8192,KnownLocalCachedEmbedding,CppAsyncV2,532916.0
4,zipf,0.9,0.1,8192,KnownLocalCachedEmbedding,PySync,157486.0
4,zipf,0.9,0.1,8192,KnownShardedCachedEmbedding,0,95473.0
4,zipf,0.9,0.1,8192,TorchNativeStdEmb,0,357187.0
4,zipf,0.9,0.2,512,KGExternelEmbedding,0,135656.0
4,zipf,0.9,0.2,512,KnownLocalCachedEmbedding,CppAsyncV2,183726.0
4,zipf,0.9,0.2,512,KnownLocalCachedEmbedding,PySync,47705.0
4,zipf,0.9,0.2,512,KnownShardedCachedEmbedding,0,51770.0
4,zipf,0.9,0.2,512,TorchNativeStdEmb,0,42711.0
4,zipf,0.9,0.2,1024,KGExternelEmbedding,0,187993.0
4,zipf,0.9,0.2,1024,KnownLocalCachedEmbedding,CppAsyncV2,319152.0
4,zipf,0.9,0.2,1024,KnownLocalCachedEmbedding,PySync,95647.0
4,zipf,0.9,0.2,1024,KnownShardedCachedEmbedding,0,99853.0
4,zipf,0.9,0.2,1024,TorchNativeStdEmb,0,85468.0
4,zipf,0.9,0.2,2048,KGExternelEmbedding,0,95035.0
4,zipf,0.9,0.2,2048,KnownLocalCachedEmbedding,CppAsyncV2,437700.0
4,zipf,0.9,0.2,2048,KnownLocalCachedEmbedding,PySync,71027.0
